Дата         | Страна               | Курс доллара
01.03.2016   | Libya                | 76.0647
01.03.2016   | Nigeria              | 76.0647
01.03.2016   | United Arab Emirates | 76.0647
01.03.2016   | Venezuela            | 76.0647
01.03.2017   | Algeria              | 59.5145
01.03.2017   | Angola               | 59.5145
01.03.2017   | Congo                | 59.5145
01.03.2017   | Equatorial Guinea    | 59.5145
01.03.2017   | Gabon                | 59.5145
01.03.2017   | IR Iran              | 59.5145
01.03.2017   | Iraq                 | 59.5145
01.03.2017   | Kuwait               | 59.5145
01.03.2017   | Libya                | 59.5145
01.03.2017   | Nigeria              | 59.5145
01.03.2017   | United Arab Emirates | 59.5145
01.03.2017   | Venezuela            | 59.5145
01.03.2018   | Algeria              | 57.4961
01.03.2018   | Angola               | 57.4961
01.03.2018   | Congo                | 57.4961
01.03.2018   | Equatorial Guinea    | 57.4961
01.03.2018   | Gabon                | 57.4961
01.03.2018   | IR Iran              | 57.4961
01.03.2018   | Iraq                 | 57.4961
01.03.2018   | Kuwait               | 57.4961
01.03.2018   | Libya                | 57.4961
01.03.2018   | Nigeria              | 57.4961
01.03.2018   | United Arab Emirates | 57.4961
01.03.2018   | Venezuela            | 57.4961
01.03.2019   | Algeria              | 63.311
01.03.2019   | Angola               | 63.311
01.03.2019   | Congo                | 63.311
01.03.2019   | Equatorial Guinea    | 63.311
01.03.2019   | Gabon                | 63.311
01.03.2019   | IR Iran              | 63.311
01.03.2019   | Iraq                 | 63.311
01.03.2019   | Kuwait               | 63.311
01.03.2019   | Libya                | 63.311
01.03.2019   | Nigeria              | 63.311
01.03.2019   | United Arab Emirates | 63.311
01.03.2019   | Venezuela            | 63.311
01.03.2021   | Algeria              | 73.7194
01.03.2021   | Angola               | 73.7194
01.03.2021   | Congo                | 73.7194
01.03.2021   | Equatorial Guinea    | 73.7194
01.03.2021   | Gabon                | 73.7194
01.03.2021   | IR Iran              | 73.7194
01.03.2021   | Iraq                 | 73.7194
01.03.2021   | Kuwait               | 73.7194
01.03.2021   | Libya                | 73.7194
01.03.2021   | Nigeria              | 73.7194
01.03.2021   | United Arab Emirates | 73.7194
01.03.2021   | Venezuela            | 73.7194
01.03.2022   | Algeria              | 105.271
01.03.2022   | Angola               | 105.271
01.03.2022   | Congo                | 105.271
01.03.2022   | Equatorial Guinea    | 105.271
01.03.2022   | Gabon                | 105.271
01.03.2022   | IR Iran              | 105.271
01.03.2022   | Iraq                 | 105.271
01.03.2022   | Kuwait               | 105.271
01.03.2022   | Libya                | 105.271
01.03.2022   | Nigeria              | 105.271
01.03.2022   | United Arab Emirates | 105.271
01.03.2022   | Venezuela            | 105.271
01.04.2008   | Algeria              | 23.777
01.04.2008   | Angola               | 23.777
01.04.2008   | Congo                | 23.777
01.04.2008   | Equatorial Guinea    | 23.777
01.04.2008   | Gabon                | 23.777
01.04.2008   | IR Iran              | 23.777
01.04.2008   | Iraq                 | 23.777
01.04.2008   | Kuwait               | 23.777
01.04.2008   | Libya                | 23.777
01.04.2008   | Nigeria              | 23.777
01.04.2008   | United Arab Emirates | 23.777
01.04.2008   | Venezuela            | 23.777
01.04.2009   | Algeria              | 34.499
01.04.2009   | Angola               | 34.499
01.04.2009   | Congo                | 34.499
